e5,e50,e24,e33,e96,e98,e15,e91,e34,e64,e46,e1,e72,e92,e97,e49,e38,e26,e68,e94,e40,e18,e8,e10,e62,e87,e73,e81,e77,e48,e19,e65,e55,e25,e11,e60,e100,e99,e51,e82,e95,e35,e39,e83,e70,e84,e90,e58,e21,e2,e78,e89,e22,e86,e14,e42,e75,e13,e7,e20,e43,e29,e69,e17,e54,e67,e30,e37,e88,e76,e41,e74,e36,e31,e12,e80,e16,e3,e28,e59,e93,e4,e45,e52,e53,e63,e71,e44,e66,e79,e47,e56,e9,e85,e57,e6,e61,e27,e32,e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e38,e57,e96,e93,e44,e42,e87,e64,e21,e51,e91,e82,e47,e78,e10,e89,e72,e1,e26,e48,e88,e52,e19,e9,e41,e33,e86,e16,e85,e8,e28,e27,e2,e83,e15,e70,e54,e17,e60,e98,e32,e95,e45,e94,e62,e43,e13,e99,e11,e18,e31,e46,e7,e5,e69,e25,e79,e74,e58,e55,e65,e75,e59,e81,e49,e35,e14,e50,e76,e22,e3,e68,e80,e97,e66,e30,e39,e37,e53,e90,e12,e40,e56,e23,e4,e67,e6,e20,e84,e34,-1,-1,-1,-1,e100,e61,-1,-1,-1,e29,e36,-1,e71,e73,e77,e24,e92,e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e53,e39,e74,e55,e65,e79,e85,e84,e90,e81,e18,e26,e75,e21,e14,e2,e22,e98,e69,e52,e70,e16,e43,e19,e29,e77,e63,e71,e31,e100,e67,e73,e57,e6,e66,e37,e20,e61,e9,e72,e25,e45,e10,e91,e48,e64,e8,e41,e59,e32,e13,e30,e17,e93,e35,e51,e24,e60,e92,e15,e4,e82,e44,e47,e87,e95,e42,e38,e99,e94,e1,e83,e54,e76,e36,e88,e89,e58,e78,e86,e7,e62,e96,e5,e28,e33,e46,-1,-1,-1,e27,e11,-1,-1,-1,-1,-1,-1,-1,-1,e49,e12,e50,e3,e97,e68,e40,e80,e23,e34,e56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e42,e11,e66,e96,e54,e88,e89,e92,e83,e37,e79,e35,e27,e17,e5,e90,e99,e68,e82,e58,e84,e14,e34,e18,e56,e81,e75,e3,e100,e74,e78,e50,e4,e40,e23,e12,e97,e80,e38,e36,e47,e1,e94,e53,e31,e6,e55,e9,e57,e59,e25,e60,e69,e61,e16,e43,e28,e51,e95,e49,e21,e76,e22,e72,e86,e29,e77,e26,e10,e2,e73,e19,e70,e39,e41,e65,e67,e98,e20,e85,e71,e87,e63,e7,e8,e62,e30,e24,e33,-1,e91,e32,e52,-1,-1,-1,-1,-1,-1,e48,e15,e64,e44,e13,e45,e93,e46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e61,e100,e76,e47,e22,-1,e7,-1,e31,-1,e30,-1,e59,-1,-1,e4,-1,-1,e46,e10,e58,e48,e70,-1,e77,e73,e16,e63,e33,e2,e71,e96,e41,e91,e64,e86,e34,e8,e62,e32,e43,e24,e29,e15,e28,e81,e84,e49,e13,e98,e51,e75,e80,e23,e50,e88,e94,e87,e83,e27,e97,e36,e35,e85,e89,e42,e21,e74,e37,e68,e72,e52,e65,e40,e3,e53,e9,e55,e69,e54,e1,e25,e20,e11,e57,e18,e26,e45,e93,e39,e19,e95,e60,e79,e38,e99,e14,e12,e44,e5,e92,e56,e78,e66,e90,e6,e17,e67,e82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e58,e65,e6,-1,e55,-1,e25,-1,-1,e39,-1,e69,e53,-1,e4,-1,e52,-1,e24,e21,-1,e70,e47,e96,e9,e27,e43,e93,e11,e87,e5,e94,e60,e72,e45,-1,e13,e57,-1,-1,e38,e32,e36,e1,-1,e33,e63,e15,e44,e71,-1,e26,e29,e85,e77,e100,-1,e10,e73,e41,-1,-1,-1,e98,e8,e61,-1,e31,e7,-1,e86,e79,-1,e67,-1,e51,-1,e59,e17,e78,e82,e35,e84,e62,e20,e89,e74,e76,e28,e99,e75,e66,e49,e22,e30,e95,e37,e16,e14,e80,e2,e34,e56,e40,e48,e46,e64,e91,e92,e23,e50,e83,e97,e68,e88,e42,e19,e18,e81,e3,e12,e54,e90,,,,,,,,,,,,,,,,,,
-1,e38,e72,e87,e69,e57,e55,e30,e25,e1,e9,e8,e51,e43,e66,e53,e28,e31,e17,e75,e94,e83,e15,e42,e34,e82,e88,e48,e89,e32,e26,e68,e49,e10,e85,e23,e46,e91,e78,e64,e3,e54,e62,e39,e45,e50,e40,e7,e74,e80,e81,e79,e41,e98,e97,e61,e58,e96,e47,e12,e99,e35,e76,e20,e70,e59,e22,e5,e92,e19,e14,e56,e95,e90,e65,e4,e6,e67,e52,e84,e37,e100,e18,e33,e21,e11,-1,e16,e27,-1,e2,-1,e29,e77,-1,e36,e60,e73,e86,-1,-1,e71,e63,e24,e44,-1,e13,e93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e76,e14,e7,e61,-1,e74,-1,-1,e35,-1,-1,e59,-1,e90,e79,-1,e68,-1,e81,e49,e62,-1,e13,-1,-1,-1,-1,e56,e84,e3,-1,e24,e77,e44,e9,e4,e40,e64,e97,e71,e12,e46,e6,e93,e80,e17,e92,e91,e72,e87,e38,e51,e23,e54,e100,e57,e26,e75,e78,e70,e83,e60,e98,e99,e42,e63,e1,e66,e89,e30,e88,e47,e43,e22,e21,e55,e36,e65,e16,e2,e48,e27,e50,e19,e52,e5,e69,e86,e39,e73,e18,e25,e67,e96,e32,e37,e95,e33,e58,e28,e10,e41,e31,e11,e15,e94,e45,e82,e85,e20,e8,e29,e34,e53,,,,,,,,,,,,,,,,,,,,,,,,,,,
e17,e54,e58,e81,e84,e99,e18,e78,e75,e79,e83,e88,e74,e89,e49,e8,e61,e10,e7,e66,e59,e62,-1,e77,e33,e4,e34,e24,e12,e14,e90,e3,e51,e71,e100,e41,e76,e9,e63,e68,e23,e40,e50,e73,e56,e85,e97,e80,e87,e70,e43,e36,e19,e94,e60,e67,e57,e1,e38,e25,e31,e55,e16,e69,e95,e92,e86,e53,e11,e98,e37,e27,e2,e6,e96,e52,e72,e26,e30,e65,e5,e47,e29,e35,e39,-1,-1,-1,-1,e21,-1,-1,e28,e32,e42,-1,e82,e91,-1,-1,e22,e44,e64,e45,e46,e20,e93,e15,e13,e48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,e51,-1,-1,-1,-1,-1,-1,e22,e20,e100,-1,-1,-1,-1,-1,-1,e31,e17,-1,e8,e30,-1,-1,-1,-1,-1,e60,e64,e82,e54,e19,-1,e28,-1,e21,e86,e83,e52,e16,e2,e42,-1,e89,e34,-1,e27,e85,e72,e94,e77,e10,e24,e33,e3,e45,e57,e48,e29,e7,e62,e73,e56,e1,e41,e78,e63,e35,e80,e84,e59,e99,e91,e11,e66,e14,e75,e36,e6,e76,e46,e61,e88,e13,e23,e95,e25,e58,e15,e74,e26,e18,e93,e39,e69,e55,e96,e37,e65,e47,e38,e68,e97,e87,e40,e70,e43,e67,e92,e49,e50,e98,e5,e81,e53,e90,e79,e4,e9,e32,e12,e44,e71,,,,,,,,,,,,,,,,,
e43,e19,-1,-1,-1,e20,e2,e27,e52,e16,e82,e42,e11,e25,e69,e60,e18,e65,e95,e86,e39,e55,e48,e66,e53,e93,e81,e4,e13,e45,e79,e32,e99,e62,-1,e91,e77,e15,e88,e35,e75,e84,e78,e37,e47,e5,e46,-1,-1,e22,e67,e87,e8,-1,e96,e49,e85,e33,e6,e100,e50,e26,e38,e51,e68,e64,e10,e41,e97,e70,e98,e17,-1,-1,e83,e21,e40,e54,e89,e12,e92,e58,e7,e31,-1,e44,e28,e90,-1,-1,-1,-1,-1,e59,-1,-1,e76,e72,e23,e73,e61,e94,e34,e56,e63,e1,e29,e14,e30,e74,e36,e3,e80,e9,e57,e71,e24,,,,,,,,,,,,,,,,,,,,,,,,
e67,e43,e37,e21,e24,-1,e28,-1,-1,-1,-1,-1,-1,-1,-1,e6,e36,e22,-1,-1,e69,e61,e10,-1,e7,e65,e29,e31,e71,e53,e74,e63,e33,e85,e14,e55,e59,e30,e39,e90,e44,e76,e70,e20,-1,e25,e26,e98,-1,e5,e73,e41,-1,e4,e38,-1,e47,e9,e87,-1,e77,e94,e96,-1,e48,e100,e82,e72,e45,e60,e19,-1,e34,e56,e1,e42,e86,e50,e27,e64,e16,e93,e3,e46,e95,e15,e40,e79,e75,e68,e23,e2,e97,e17,e99,e83,e54,e84,e92,e88,e18,e8,e13,e51,e66,e89,e80,e62,e11,e32,e12,e57,e58,e35,e49,e78,e52,e81,e91,,,,,,,,,,,,,,,,,,,,,,
e52,e68,-1,e60,e16,e46,e56,e54,e51,e75,e12,e6,e91,e86,e83,e97,e1,e72,e84,e82,e80,e42,e7,e4,e2,e23,e57,e43,e30,e79,e100,e21,e76,e14,e55,e90,e35,e74,e49,e22,e87,e47,e53,e27,e65,e69,e38,e19,e33,e63,e5,e39,e59,e71,e26,e64,e50,e18,e70,e40,e73,e25,e67,e37,e9,e96,e98,e61,e95,e28,e24,e31,e11,e94,e48,e85,e81,e62,e3,e8,e29,e92,e36,e34,-1,-1,e78,-1,e32,-1,e89,e17,-1,e99,-1,e66,-1,e44,e88,e15,e13,e58,e45,e93,e10,e77,e41,e20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e35,e17,e61,e76,e99,e8,e50,e94,e77,e5,e66,e11,e56,e31,e87,e79,e45,e89,e90,e29,e3,e81,e97,e74,e88,e15,e18,e100,e22,e73,e27,e2,e84,e69,e44,e16,e52,e70,e36,e19,e57,e80,e71,e41,e92,e32,e23,e34,e67,e6,e39,e63,e53,e37,e55,e1,e38,e65,e68,e13,e62,e72,e24,e25,e20,e9,e58,e96,e40,e10,e59,e93,e30,e14,e60,e78,e26,e7,e4,-1,e47,-1,-1,-1,e49,-1,e91,-1,-1,e42,-1,-1,e64,-1,e83,e82,e51,e21,e75,e43,e12,e95,e85,e46,e54,e86,e28,e48,e98,e33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,e20,-1,e49,-1,-1,e99,e93,e45,e48,e39,e33,e64,e85,e12,e98,e66,e58,e25,e51,e8,e17,e28,e92,e67,e91,e54,e21,-1,e83,e88,e95,e6,e23,e31,e75,e89,e82,e86,e24,e74,e55,e69,e76,e59,e10,e61,e37,e30,e78,e65,e42,e90,e34,e43,e14,e53,e7,-1,e46,e41,-1,-1,-1,-1,e36,-1,-1,e47,e29,-1,e77,e15,e71,e63,e32,e94,e73,e57,e38,e13,e44,-1,e22,e79,e81,e9,e1,e11,e27,e62,e35,e50,e52,e16,e18,e68,e80,e97,e84,e40,e3,e70,e26,e96,e2,e56,e19,e100,e5,e87,e4,e60,e72,,,,,,,,,,,,,,,,,,,,,,,,,,,
e22,-1,e69,e65,e6,e15,e24,e50,e68,e40,e13,e12,e3,e32,e53,e20,e56,e44,e92,e55,e34,e49,e36,e64,e97,-1,-1,-1,e8,e67,-1,-1,e62,e37,e18,e17,e80,e31,-1,e66,e82,e81,e79,e61,e74,e51,e60,e84,e100,e54,e42,e35,e77,e88,e95,e83,e11,e86,e30,e71,e58,e89,e25,e78,e73,e75,e91,e90,e2,e14,e21,e99,e52,e16,e4,e10,e93,e27,e33,e76,e46,e63,e39,e70,e26,e59,e19,e98,e96,e85,e5,e45,e43,e28,e29,e23,e41,-1,e7,e9,e48,e47,e38,e57,e72,e87,-1,e94,e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e39,e25,e65,e53,e26,e5,e1,e70,e72,e45,e37,e85,e33,e46,e63,e15,e98,e48,e93,e13,e44,e73,e96,e67,e40,e62,e41,e17,e3,e56,e11,e20,e71,e58,e4,e97,e19,e18,e24,e84,e54,e83,e82,e79,e75,e100,e28,e35,e66,e42,e86,e78,e99,e95,e22,e89,e80,e21,e16,e88,e23,e2,e10,e36,e32,e68,e12,e8,e55,e47,e49,e81,e92,e43,e29,e69,e57,e6,e87,e94,e52,e38,e31,e27,e64,e9,e51,e77,e90,e91,e60,e50,e7,-1,e59,-1,-1,e74,e30,e34,e14,e76,e61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e31,e74,e81,e94,e67,e35,e14,e41,e61,e90,e84,e45,e71,e20,e85,e7,e15,e57,e87,e38,e9,e47,e92,e37,e93,e76,e62,e77,e27,e22,e10,e30,e80,e32,e12,e59,e33,e49,e34,e58,e79,-1,-1,e60,-1,-1,-1,e52,-1,-1,-1,-1,-1,e3,-1,e13,e23,e56,e8,e6,e5,e43,-1,e55,e53,e69,e18,e48,e50,e65,-1,e51,e25,-1,e28,e17,e82,e44,-1,e70,e83,e54,e95,e86,e96,e4,e16,e19,e1,e88,e42,e46,e40,e98,e75,e39,e26,e68,e2,e64,e63,e24,e66,e36,e99,e97,e89,e100,e73,e21,e11,e78,e72,e29,e91,,,,,,,,,,,,,,,,,,,,,,,,,,
e88,e75,e82,e42,e83,e18,e54,e28,e94,e47,e8,e9,e57,e48,e46,e63,e13,e87,e4,e23,e38,e96,e26,e1,e24,e86,e60,e98,e52,e44,e73,e16,e95,e5,e36,e2,e29,e66,e99,e17,e70,e19,e89,e21,e100,e12,e11,e68,e78,e64,e58,e72,e34,e49,e51,e27,e40,e20,e80,e91,e6,-1,e7,e61,e31,-1,e85,-1,e33,e45,e55,e90,e81,e69,e50,e39,e84,e56,e35,e93,e10,e74,e41,e3,e62,e77,e97,e30,e14,e65,e15,e92,e53,e43,e71,e76,e32,e59,e79,-1,e67,e37,-1,e22,e25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,e95,e60,e86,e38,e19,e16,e87,e4,e67,e70,e57,e98,e94,e9,e33,e37,e17,e22,e1,e26,e51,e21,e99,e96,e47,e83,e82,e92,e78,e42,e75,e54,e88,e89,e72,e66,e85,e5,e8,e68,-1,-1,e49,e3,e20,e64,-1,-1,-1,e28,e12,e100,e43,e52,e40,e56,e31,e50,e18,e79,e11,e97,e93,e90,e58,e59,e27,e32,e46,e81,e84,e91,e74,e34,e63,e15,e71,e45,e25,e61,e30,e44,e80,e14,e76,e23,e53,e13,e7,e24,e73,e39,e41,e65,e35,e48,e69,e77,e10,e55,e6,e36,e29,e62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e27,e76,e52,e79,e77,e11,e10,e39,e50,e3,e59,e20,e90,e29,e47,e67,e26,e70,e58,e35,e30,e38,e55,e36,e1,e64,e14,e40,e96,e31,e23,e18,e37,e94,e61,e56,e25,e5,e69,e74,e65,e63,e17,e28,e8,e53,e68,e97,e51,e66,e24,e54,e57,e81,e78,e34,e99,e82,e72,e95,e86,e80,e83,e88,e21,e89,e49,e42,e19,e100,e2,e9,e6,e84,e71,e16,e87,e41,e75,e60,e4,e12,e92,e32,e7,e73,e85,e48,e62,e22,e46,e43,e91,e44,e33,e45,e15,e13,-1,e93,-1,e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e84,e77,e33,e10,e85,e34,e23,e98,e36,e63,e22,e73,e41,e24,e29,e71,e80,e79,-1,-1,-1,-1,e20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e43,-1,-1,-1,-1,e18,-1,-1,-1,-1,-1,-1,e58,e45,e15,e13,e49,e48,e93,e46,e75,e12,e32,e8,e91,-1,-1,-1,-1,e44,-1,-1,-1,e78,-1,e99,e67,-1,-1,e5,e64,e50,e56,e66,e68,-1,-1,e3,e51,-1,e97,e19,e92,e62,e82,e83,e90,e53,e54,e27,e37,e72,e35,e94,e59,e52,e28,e74,e87,e1,e70,e14,e57,e16,e39,e7,e89,e26,e86,e30,e11,e40,e42,e96,e25,e76,e2,e4,e65,e38,e95,e47,e17,e61,e88,e100,e21,e9,e55,e60,e81,e31,e6,e69,,,
e4,e41,e10,e70,e60,e93,e11,e1,e12,e82,e97,e32,e95,e53,e43,e38,e87,e85,e3,e50,e75,e19,e2,e21,e58,e51,e98,e42,e69,e16,e91,e46,e25,e52,e27,e67,e57,e47,e66,e62,e9,e100,e37,e26,e39,e55,e18,e77,e6,e48,e96,e56,e81,e84,e45,e35,e65,e94,e49,e72,e68,e86,e5,e33,e64,e28,e54,e40,e24,e8,e34,e71,e63,e17,e73,e31,e83,e61,e80,e29,e89,e36,e78,e90,e23,e20,e7,-1,e59,-1,e99,e76,-1,e74,e14,e88,e30,-1,-1,e79,e44,e15,e22,e92,-1,e13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
