e19,e16,e72,e29,e1,e7,e48,e68,e59,e47,e64,e73,e5,e25,,,,,
e29,e84,e74,e92,e73,e1,e22,e51,e67,e99,e47,e27,e21,e69,e25,,,,
e23,e48,e73,e74,e79,e53,e96,e27,e34,e80,e41,e89,e69,,,,,,
e41,e70,e40,e90,e74,e8,e16,e47,e14,e10,,,,,,,,,
e51,e94,e7,e62,e86,e93,e54,e60,e50,e11,e17,e31,e14,e88,,,,,
e33,e81,e5,e63,e47,e75,e85,e11,e27,e53,e32,,,,,,,,
e100,e58,e78,e4,e13,e68,e3,e35,e5,e24,e37,e86,e42,e52,e40,e99,e16,e31,e38
e60,e24,e30,e56,e54,e61,e25,e72,e19,e2,e6,e79,e8,,,,,,
e12,e9,e51,e97,e42,e63,e62,e100,e16,e33,e8,e78,e13,e79,,,,,
e94,e44,e39,e49,e3,e82,e40,e93,e20,e86,e55,e34,,,,,,,
e4,e66,e35,e95,e32,e50,e26,e91,e25,e51,e11,e23,e84,e36,,,,,
e26,e22,e58,e67,e34,e76,e9,e41,e91,e30,,,,,,,,,
e27,e60,e22,e25,e17,e54,e34,e44,e11,e49,e13,,,,,,,,
e57,e40,e54,e91,e90,e87,e95,e69,e65,e66,e15,e85,,,,,,,
e90,e46,e53,e70,e15,e31,e81,e21,e75,e77,e2,e94,e41,e18,e88,,,,
e10,e77,e97,e66,e4,e89,e39,e74,e29,e32,e71,e83,e7,e40,e79,,,,
e93,e20,e37,e2,e62,e41,e44,e63,e7,e74,e90,e9,,,,,,,
e56,e78,e82,e40,e19,e95,e86,e57,e38,e31,e34,e20,e85,e61,e100,e88,e36,,
e91,e32,e79,e78,e94,e92,e47,e10,e21,e98,,,,,,,,,
e38,e93,e43,e88,e85,e67,e4,e23,e46,e95,e84,,,,,,,,
e62,e54,e89,e99,e45,e80,e10,,e92,e36,e49,e38,,,,,,,
e88,e80,e36,e33,e55,e37,e69,e79,e30,e16,e7,e53,,,,,,,
e13,e33,e18,e35,e21,e27,e93,e17,e97,e38,e30,e76,e25,e57,e36,,,,
e37,e67,e84,e59,e28,e60,e2,e86,e83,e27,e36,e87,e23,e34,,,,,
e18,e92,e63,e24,e5,e81,e65,e49,e1,e23,,,,,,,,,
e3,e69,e67,e65,e89,e77,e36,e1,e56,e44,,,,,,,,,
e69,e64,e17,e9,e23,e38,e91,e39,e54,e4,,,,,,,,,
e7,e61,e81,e26,e37,e45,e79,e22,e60,e87,e99,,,,,,,,
e63,e65,e57,e14,e18,e72,e30,e82,e98,e45,e88,,,,,,,,
e48,e39,e91,e7,e82,e55,e33,e97,e18,e41,e66,e36,e92,,,,,,
e53,e13,e70,e32,e81,e26,e99,e85,e68,e69,e14,e4,e94,e82,e44,e38,,,
e54,e50,e93,e77,e7,e14,e11,e52,e81,e21,e65,,,,,,,,
